,document,subject,relation,object
0,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",his successor,being,minor
1,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Bhishma,placing,himself
2,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Chitrangada,was,slain
3,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",his,successor,Vichitravirya
4,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Bhishma,placing under,command of Satyavati
5,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Kuru,of,race
6,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Bhishma,placing under,command
7,"(Sambhava Parva continued)

""Vaisampayana said, 'O thou of Kuru's race, after Chitrangada was slain,
his successor Vichitravirya being a minor, Bhishma ruled the kingdom,
placing himself under the command of Satyavati.",Chitrangada,was,after slain
8,"At this time he heard
that the three daughters of the king of Kasi, all equal in beauty to the
Apsaras themselves, would be married on the same occasion, selecting
their husbands at a self-choice ceremony.",he,heard At,time
9,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",monarchs,come from,directions
10,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",he,also saw,three maidens
11,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",he,saw,three maidens
12,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",he,there also saw,three maidens
13,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",Bhishma,son of,Santanu
14,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",innumerable monarchs,come from,directions
15,"There Bhishma, the son
of Santanu, saw that innumerable monarchs had come from all directions;
and there he also saw those three maidens that would select their own
husbands.",he,there saw,three maidens
