,document,subject,relation,object
0,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,so went,see
1,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,see,self choice ceremony
2,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,went to,Varanasi
3,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,went,see
4,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,went in,single chariot
5,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,wanted,marry
6,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,so went,to see
7,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,so went in,single chariot
8,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,went in,chariot
9,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,went,to see
