,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,0,"""Vrihadaswa",B-PER,JJ
1,1,0,"said,",O,NN
2,2,0,'After,O,RBR
3,3,0,a,O,DT
4,4,0,long,O,JJ
5,5,0,time,O,NN
6,6,0,had,O,VBD
7,7,0,passed,O,VBN
8,8,0,"away,",O,IN
9,9,0,a,O,DT
10,10,0,Brahmana,B-COMMUNITY,NNP
11,11,0,named,O,VBN
12,12,0,Parnada,B-PER,NNP
13,13,0,returned,O,VBD
14,14,0,to,O,TO
15,15,0,the,O,DT
16,16,0,city,O,NN
17,17,0,(of,O,VBZ
18,18,0,the,O,DT
19,19,0,"Vidarbhas),",B-PLACE,NNP
20,20,0,and,O,CC
21,21,0,said,O,VBD
22,22,0,unto,O,IN
23,23,0,the,O,DT
24,24,0,daughter,O,NN
25,25,0,of,O,IN
26,26,0,"Bhima,",B-PER,NNP
27,27,0,'O,O,POS
28,28,0,"Damayanti,",B-PER,NNP
29,29,0,seeking,O,VBG
30,30,0,"Nala,",B-PER,NNP
31,31,0,the,O,DT
32,32,0,king,O,NN
33,33,0,of,O,IN
34,34,0,"Nishadhas,",B-COMMUNITY,NNP
35,35,0,I,O,PRP
36,36,0,came,O,VBD
37,37,0,to,O,TO
38,38,0,the,O,DT
39,39,0,city,O,NN
40,40,0,of,O,IN
41,41,0,"Ayodhya,",B-PLACE,NNP
42,42,0,and,O,CC
43,43,0,appeared,O,VBD
44,44,0,before,O,IN
45,45,0,the,O,DT
46,46,0,son,O,NN
47,47,0,of,O,IN
48,48,0,Bhangasura.,B-PER,NNP
49,49,0,"And,",O,NNP
50,50,0,O,O,NNP
51,51,0,best,O,JJS
52,52,0,of,O,IN
53,53,0,"women,",O,NN
54,54,0,I,O,PRP
55,55,0,repeated,O,VBD
56,56,0,those,O,DT
57,57,0,words,O,NNS
58,58,0,of,O,IN
59,59,0,thine,O,NN
60,60,0,in,O,IN
61,61,0,the,O,DT
62,62,0,presence,O,NN
63,63,0,of,O,IN
64,64,0,the,O,DT
65,65,0,blessed,O,VBN
66,66,0,Rituparna.,B-PER,NNP
67,67,0,But,O,CC
68,68,0,hearing,O,VBG
69,69,0,them,O,PRP
70,70,0,neither,O,CC
71,71,0,that,O,IN
72,72,0,ruler,O,NN
73,73,0,of,O,IN
74,74,0,"men,",O,NNS
75,75,0,nor,O,CC
76,76,0,his,O,PRP$
77,77,0,"courtiers,",O,NN
78,78,0,answered,O,VBD
79,79,0,"anything,",O,IN
80,80,0,although,O,IN
81,81,0,I,O,PRP
82,82,0,uttered,O,VBD
83,83,0,them,O,PRP
84,84,0,repeatedly.,O,VB
85,85,0,"Then,",O,NN
86,86,0,after,O,IN
87,87,0,I,O,PRP
88,88,0,had,O,VBD
89,89,0,been,O,VBN
90,90,0,dismissed,O,VBN
91,91,0,by,O,IN
92,92,0,the,O,DT
