,document,subject,relation,object
0,"LIV

""Vrihadaswa said, 'O Bharata, hearing those words of the swan, Damayanti
thenceforth lost all peace of mind on account of Nala.",Damayanti,thenceforth lost,peace of mind
1,"LIV

""Vrihadaswa said, 'O Bharata, hearing those words of the swan, Damayanti
thenceforth lost all peace of mind on account of Nala.",Damayanti,peace of,mind
2,"LIV

""Vrihadaswa said, 'O Bharata, hearing those words of the swan, Damayanti
thenceforth lost all peace of mind on account of Nala.",Damayanti,lost,peace of mind
3,"And heaving
frequent sighs she was filled with anxiety, and became melancholy and
pale-faced and lean.",heaving sighs,was,filled
4,"And heaving
frequent sighs she was filled with anxiety, and became melancholy and
pale-faced and lean.",heaving frequent sighs,was,filled
5,"And heaving
frequent sighs she was filled with anxiety, and became melancholy and
pale-faced and lean.",heaving sighs,was,filled with anxiety
6,"And heaving
frequent sighs she was filled with anxiety, and became melancholy and
pale-faced and lean.",she,became,melancholy
7,"And heaving
frequent sighs she was filled with anxiety, and became melancholy and
pale-faced and lean.",heaving frequent sighs,was,filled with anxiety
8,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",her heart,possessed by,god
9,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,with her heart possessed by god of love
10,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,her heart possessed
11,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,her heart possessed by god of love
12,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,her heart possessed by god
13,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,with her heart possessed by god
14,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,with her heart possessed by god of love
15,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,looked with,her upturned gaze
16,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",her heart,possessed by,god of love
17,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,her heart possessed
18,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,lost,with her heart possessed
19,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,looked with,her gaze
20,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,with her heart possessed
21,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,looked like,one demented
22,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,her heart possessed by god of love
23,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,her heart possessed by god
24,"And with her heart possessed by the god of love, she
soon lost colour, and with her upturned gaze and modes of abstraction,
looked like one demented.",she,soon lost,with her heart possessed by god
25,"And she ceased to lie down by day or night,
always weeping with exclamation of Oh!",she,lie down by,day
26,"And beholding her uneasy
and fallen into that condition, her hand-maids represented, O king, the
matter of her illness unto the ruler of Vidarbha by indirect hints.",king,matter unto,ruler of Vidarbha
27,"And beholding her uneasy
and fallen into that condition, her hand-maids represented, O king, the
matter of her illness unto the ruler of Vidarbha by indirect hints.",king,matter of,her illness
28,"And beholding her uneasy
and fallen into that condition, her hand-maids represented, O king, the
matter of her illness unto the ruler of Vidarbha by indirect hints.",king,matter by,indirect hints
29,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,regarded,affair of his daughter
30,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,hearing from,handmaids of Damayanti
31,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,regarded,to serious
32,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,hearing of,this
33,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,regarded,serious
34,"And
king Bhima, hearing of this from the handmaids of Damayanti, regarded the
affair of his daughter to be serious.",king Bhima,regarded,affair
35,"And he asked himself, 'Why is it
that my daughter seemeth to be so ill now?'",he,asked,himself
36,"And the king, reflecting by
himself that his daughter had attained to puberty, concluded that
Damayanti's Swayamvara should take place.",Damayanti 's Swayamvara,take,place
37,"And the king, reflecting by
himself that his daughter had attained to puberty, concluded that
Damayanti's Swayamvara should take place.",Damayanti,has,Swayamvara
38,"And the king, reflecting by
himself that his daughter had attained to puberty, concluded that
Damayanti's Swayamvara should take place.",his daughter,attained to,puberty
39,"And the king, reflecting by
himself that his daughter had attained to puberty, concluded that
Damayanti's Swayamvara should take place.",king,reflecting by,himself
40,"And the monarch, O exalted one,
(invited) all the rulers of the earth, saying, Ye heroes, know that
Damayanti's Swayamvara is at hand, And all the kings, hearing of
Damayanti's Swayamvara, came unto Bhima, agreeable to his message,
filling the earth with the clatter of their cars, the roar of their
elephants, and the neighing of their horses, and accompanied with their
fine-looking battalions decked in ornaments and graceful garlands.",Damayanti,has,Swayamvara
41,"And the monarch, O exalted one,
(invited) all the rulers of the earth, saying, Ye heroes, know that
Damayanti's Swayamvara is at hand, And all the kings, hearing of
Damayanti's Swayamvara, came unto Bhima, agreeable to his message,
filling the earth with the clatter of their cars, the roar of their
elephants, and the neighing of their horses, and accompanied with their
fine-looking battalions decked in ornaments and graceful garlands.",monarch,exalted,one
42,"And the monarch, O exalted one,
(invited) all the rulers of the earth, saying, Ye heroes, know that
Damayanti's Swayamvara is at hand, And all the kings, hearing of
Damayanti's Swayamvara, came unto Bhima, agreeable to his message,
filling the earth with the clatter of their cars, the roar of their
elephants, and the neighing of their horses, and accompanied with their
fine-looking battalions decked in ornaments and graceful garlands.",O,exalted,one
43,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",armed Bhima,paid unto,monarchs
44,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",armed Bhima,paid unto,illustrious monarchs
45,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",Bhima,paid unto,monarchs
46,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",Bhima,paid reverence unto,illustrious monarchs
47,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",armed Bhima,paid reverence unto,illustrious monarchs
48,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",mighty armed Bhima,paid reverence unto,illustrious monarchs
49,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",Bhima,paid reverence unto,monarchs
50,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",mighty armed Bhima,paid unto,illustrious monarchs
51,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",mighty armed Bhima,paid unto,monarchs
52,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",Bhima,paid unto,illustrious monarchs
53,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",mighty armed Bhima,paid reverence unto,monarchs
54,"And
the mighty-armed Bhima paid due reverence unto those illustrious
monarchs.",armed Bhima,paid reverence unto,monarchs
55,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those foremost,possessed of,splendour
56,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those foremost,possessed of,splendour of wisdom
57,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those,possessed of,splendour of great wisdom
58,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",their,wandering at,regions of Indra
59,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those foremost,possessed at,juncture
60,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those,possessed of,splendour of wisdom
61,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those,possessed at,juncture
62,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those foremost,possessed of,splendour of great wisdom
