,document,subject,relation,object
0,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,her handmaids,informed,ruler
1,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,Damayanti,is,ill
2,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,Damayanti,is having,affair with Nala
3,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,Damayanti,is having,affair
4,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,affair,is with,Nala
5,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,her handmaids,informed,ruler of Vidarbha
6,Damayanti is ill and her handmaids informed the ruler of Vidarbha that Damayanti is having an affair with Nala.,Damayanti,affair with,Nala
7,King Bhima invited all the rulers of the earth to a Swayamvara.,King Bhima,invited,rulers of earth
8,All the kings came and were honoured by Bhima.,kings,were honoured by,Bhima
9,Narada and Parvata visited Maghavat the mansion of the lord of the immortals.,Narada,visited,Maghavat
10,Narada and Parvata visited Maghavat the mansion of the lord of the immortals.,Parvata,visited,Maghavat
11,They received proper worship and were treated with utmost respect.,They,received,worship
12,They received proper worship and were treated with utmost respect.,They,were treated with,respect
13,They received proper worship and were treated with utmost respect.,They,were treated with,utmost respect
14,They received proper worship and were treated with utmost respect.,They,received,proper worship
15,They received proper worship and were treated with utmost respect.,They,were,treated
16,Maghvat inquired after their undisturbed peace and welfare.,Maghvat,inquired after,their peace
17,Maghvat inquired after their undisturbed peace and welfare.,Maghvat,inquired after,their undisturbed peace
18,"Narada said, 'O lord, O divine one, peace attendeth us in every respect'",peace attendeth,is in,respect
19,"Narada, the slaver of Vala and Vritra, is looking for the Kshatriya heroes.",Narada,is looking for,Kshatriya heroes
20,"Narada, the slaver of Vala and Vritra, is looking for the Kshatriya heroes.",Narada,slaver of,Vala
21,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Sakra,has,Damayanti
22,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Swayamvara,is take,place
23,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Sakra,has,Damayanti
24,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Sakra,has,daughter
25,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Sakra,ruler of,Vidarbhas
26,"Sakra, the ruler of Vidarbhas, has a daughter, Damayanti, whose Swayamvara is about to take place.",Swayamvara,is about take,place
27,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",his way,is,on to meet
28,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",Nala,is,meet
29,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",Nala,is,on to meet
30,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",Nala,is,on meet
31,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",Nala,is,to meet
32,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",his way,is,meet
33,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",his way,is,on meet
34,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",his way,is,to meet
35,"Nala, the high-souled king of Nishadhas, is on his way to meet her.",Nala,king of,Nishadhas
36,Nala has been chosen by the gods to be Damayanti's messenger.,Nala,has,has chosen by gods
37,Nala has been chosen by the gods to be Damayanti's messenger.,Nala,be,Damayanti 's messenger
38,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Yama,are coming to,assembly
39,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Agni,are coming to,assembly
40,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Maghavat,are coming to,assembly
41,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Sakra,are coming to,assembly
42,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Indra,are coming to,assembly
43,"Maghavat, Indra, Agni, Varuna, Yama and Sakra are coming to the assembly.",Varuna,are coming to,assembly
44,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Damayante,for,sake
45,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Sakra,want,to choose for Damayante 's sake
46,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Agni,want,to choose for Damayante 's sake
47,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Agni,want,Nala
48,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Agni,want,to choose
49,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Agni,want,choose
50,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Sakra,want,to choose
51,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Agni,want,choose for Damayante 's sake
52,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Sakra,want,Nala
53,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Sakra,want,choose for Damayante 's sake
54,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Nala,choose for,Damayante 's sake
55,Sakra and Agni want Nala to choose one of them for Damayante's sake.,Sakra,want,choose
56,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,see,daughter
57,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,came to,palace
58,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,see,daughter of king of Vidarbha
59,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,see,daughter of king
60,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,came,to see
61,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,came,see
62,Nala came to the palace of Damayanti to see the daughter of the king of Vidarbha.,Nala,came to,palace of Damayanti
63,"She is the foremost of the celestials, Sakra, Agni, Varuna, and Yama.",She,is,foremost
64,"She is the foremost of the celestials, Sakra, Agni, Varuna, and Yama.",She,is foremost of,celestials
65,Nala has entered the palace unperceived.,Nala,has entered,palace unperceived
66,Nala has entered the palace unperceived.,Nala,has entered,palace
67,"Damayanti bowed down to the gods.Nala asked Damayanti to choose between Mahendra, Hutasana, Varuna and the Lokapalas as her lord.",Damayanti,choose between,Mahendra
68,"Damayanti bowed down to the gods.Nala asked Damayanti to choose between Mahendra, Hutasana, Varuna and the Lokapalas as her lord.",Damayanti,bowed down to,gods.Nala
69,"Damayanti bowed down to the gods.Nala asked Damayanti to choose between Mahendra, Hutasana, Varuna and the Lokapalas as her lord.",Damayanti,choose as,her lord
70,Damayani chose the celestials and Nala returned to the Swayamvara where the gods were staying.,celestials,returned to,Swayamvara
71,Damayani chose the celestials and Nala returned to the Swayamvara where the gods were staying.,Nala,returned to,Swayamvara
72,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,King Bhima,summoned,kings
73,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,King Bhima,summoned to,Swayamvara
74,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,King Bhima,summoned kings to,Swayamvara
