,paras
0,"""Vrihadaswa said, 'After a long time had passed away, a Brahmana named
Parnada returned to the city (of the Vidarbhas), and said unto the
daughter of Bhima, 'O Damayanti, seeking Nala, the king of Nishadhas, I
came to the city of Ayodhya, and appeared before the son of Bhangasura.
And, O best of women, I repeated those words of thine in the presence of
the blessed Rituparna. But hearing them neither that ruler of men, nor
his courtiers, answered anything, although I uttered them repeatedly.
Then, after I had been dismissed by the monarch, I was accosted by a
person in the service of Rituparna, named Vahuka. And Vahuka is the
charioteer of that king, of unsightly appearance and possessed of short
arms. And he is skillful in driving with speed, and well acquainted with
the culinary art. And sighing frequently, and weeping again and again, he
inquired about my welfare and afterwards said these words, 'Chaste women,
although fallen into distress, yet protect themselves and thus certainly
secure heaven. Although they may be deserted by their lords, they do not
yet become angry on that account, for women that are chaste lead their
lives, encased in the armour of virtuous behaviour. It behoveth her not
to be angry, since he that deserted her was overwhelmed with calamity,
and deprived of every bliss. A beauteous and virtuous woman should not be
angry with one that was deprived by birds of his garment while striving
to procure sustenance and who is being consumed with grief. Whether
treated well or ill, such a wife should never indulge in ire, beholding
her husband in that plight, despoiled of kingdom and destitute of
prosperity, oppressed with hunger and overwhelmed with calamity.' Hearing
these words of his, I have speedily come here. Thou hast now heard all.
Do what thou thinkest proper, and inform the king of it.'"
1,"""O king, having heard these words of Parnada, Damayanti with tearful eyes
came to her mother, and spake unto her in private, 'O mother, king Bhima
should not, by any means, be made acquainted with my purpose. In thy
presence will I employ that best of Brahmanas, Sudeva! If thou desirest
my welfare, act in such a way that king Bhima may not know my purpose.
Let Sudeva without delay go hence to the city of Ayodhya, for the purpose
of bringing Nala, O mother, having performed the same auspicious rites by
virtue of which he had speedily brought me into the midst of friends.'
With these words, after Parnada had recovered from fatigue, the princess
of Vidarbha worshipped him with profuse wealth and also said, 'When Nala
will come here, O Brahmana, I will bestow on thee wealth in abundance
again. Thou hast done me the immense service which none else, indeed, can
do me, for, (owing to that service of thine), O thou best of the
regenerate ones, I shall speedily regain my (lost) lord.' And thus
addressed by Damayanti, that high-minded Brahmana comforted her, uttering
benedictory words of auspicious import, and then went home, regarding his
mission to have been successful. And after he had gone away, Damayanti
oppressed with grief and distress, calling Sudeva, addressed him, O
Yudhishthira, in the presence of her mother, saying, 'O Sudeva, go thou
to the city of Ayodhya, straight as a bird, and tell king Rituparna
living there, these words: 'Bhima's daughter, Damayanti will hold another
Swayamvara. All the kings and princes are going thither. Calculating the
time, I find that the ceremony will take place tomorrow. O represser of
foes, if it is possible for thee, go thither without delay. Tomorrow,
after the sun hath risen, she will choose a second husband, as she doth
not know whether the heroic Nala liveth or not. And addressed by her, O
monarch thus, Sudeva set out. And he said unto Rituparna, all that he had
been directed to say.'"""
2,
3,"""Vrihadaswa continued, 'Having heard the words of Sudeva king Rituparna,
soothing Vahuka with gentle words, said, 'O Vahuka, thou art well-skilled
in training and guiding horses. If it pleases thee, I intend to go to
Damayanti's Swayamvara in course of a single day.' Thus addressed, O son
of Kunti, by that king, Nala felt his heart to be bursting in grief. And
the high-souled king seemed to burn in sorrow. And he thought within
himself, 'Perhaps Damayanti in doing this is blinded by sorrow. Or,
perhaps, she hath conceived this magnificent scheme for my sake. Alas,
cruel is the deed that the innocent princess of Vidarbha intends to do,
having been deceived by my sinful and low self of little sense. It is
seen in the world that the nature of woman is inconstant. My offence also
hath been great; perhaps she is acting so, because she hath no longer any
love for me owing to my separation from her. Indeed, that girl of slender
waist, afflicted with grief on my account and with despair, will not
certainly do anything of the kind, when especially, she is the mother of
offspring (by me). However whether this is true or false, I shall
ascertain with certitude by going thither. I will, therefore, accomplish
Rituparna's and my own purpose also.' Having resolved thus in his mind,
Vahuka, with his heart in sorrow, spake unto king Rituparna, with joined
hands, saying, 'O monarch, I bow to thy behest, and, O tiger among men, I
will go to the city of the Vidarbhas in a single day. O king!' Then, O
monarch, at the command of the royal son of Bhangasura, Vahuka went to
the stables and began to examine the horses. And repeatedly urged by
Rituparna to make haste, Vahuka after much scrutiny and careful
deliberation, selected some steeds that were lean-fleshed, yet strong and
capable of a long journey and endued with energy and strength of high
breed and docility, free from inauspicious marks, with wide nostrils and
swelling cheeks, free from faults as regards the ten hairy curls, born in
(the country of) Sindhu, and fleet as the winds. And seeing those horses,
the king said somewhat angrily, 'What is this, that thou wishest to do?
Thou shouldst not jest with us. How can these horses of mine, weak in
strength and breath, carry us? And how shall we be able to go this long
way by help of these?' Vahuka replied, 'Each of these horses bears one
curl on his forehead, two on his temples, four on his sides, four on his
chest, and one on his back. Without doubt, these steeds will be able to
go to the country of the Vidarbhas. If, O king, thou thinkest of choosing
others, point them out and I shall yoke them for thee.' Rituparna
rejoined, 'O Vahuka, thou art versed in the science of horses and art
also skillful (in guiding them). Do thou speedily yoke those that thou
thinkest to be able.' Thereupon the skillful Nala yoked upon the car four
excellent steeds of good breed that were, besides, docile and fleet. And
after the steeds had been yoked, the king without loss of time mounted
upon the car, when those best of horses fell down upon the ground on
their knees. Then, O king, that foremost of men, the blessed king Nala
began to soothe horses endued with energy and strength. And raising them
up with the reins and making the charioteer Varshneya sit on the car, he
prepared to set out with great speed. And those best of steeds, duly
urged by Vahuka, rose to the sky, confounding the occupant of the
vehicle. And beholding those steeds gifted with the speed of the wind
thus drawing the car, the blessed king of Ayodhaya was exceedingly
amazed. And noticing the rattle of the car and also the management of the
steeds, Varshneya reflected upon Vahuka's skill in guiding horses. And he
thought, 'Is he Matali, the charioteer of the king of the celestials? I
find the same magnificent indications in the heroic Vahuka. Or, hath
Salihotra versed in the science of horses taken this human shape so
beautiful? Or, is it king Nala the reducer of hostile towns that hath
come here? Or, it may be that this Vahuka knoweth the science that Nala
knoweth, for I perceive that the knowledge of Vahuka is equal to that of
Nala. Further, Vahuka and Nala are of the same age. This one, again, may
not be Nala of high prowess, but somebody of equal knowledge. Illustrious
persons, however, walk this earth in disguise in consequence of
misfortune, or agreeably to the ordinance of the scriptures. That this
person is of unsightly appearance need not change my opinion; for Nala, I
think, may even be despoiled of his personal features. In respect of age
this one equals Nala. There is difference, however, in personal
appearance. Vahuka, again is endued with every accomplishment. I think,
therefore, he is Nala.' Having thus reasoned long in his mind, O mighty
monarch, Varshneya, the (former) charioteer of the righteous Nala, became
absorbed in thought. And that foremost of kings Rituparna, also,
beholding the skill of Vahuka in equestrian science experienced great
delight, along with his charioteer Varshneya. And thinking of Vahuka's
application and ardour and the manner of his holding the reins, the king
felt exceedingly glad.'"""
4,
5,"""Vrihadaswa said, 'Like a bird coursing through the sky, Nala soon
crossed rivers and mountains, and woods and lakes. And while the car was
coursing thus, that conqueror of hostile cities, the royal son of
Bhangasura, saw his upper garment drop down on the ground. And at soon as
his garment had dropped down the high-minded monarch, without loss of
time, told Nala, 'I intend to recover it. O thou of profound
intelligence, retain these steeds endued with exceeding swiftness until
Varshneya bringeth back my garment.' Thereupon Nala replied unto him,
'The sheet is dropped down far away. We have travelled one yojana thence.
Therefore, it is incapable of being recovered.' After Nala had addressed
him thus, O king, the royal son of Bhangasura came upon a Vibhitaka tree
with fruits in a forest. And seeing that tree, the king hastily said to
Vahuka, 'O charioteer, do thou also behold my high proficiency in
calculation. All men do not know everything. There is no one that is
versed in every science of art. Knowledge in its entirety is not found in
any one person, O Vahuka, the leaves and fruits of this tree that are
lying on the ground respectively exceed those that are on it by one
hundred and one. The two branches of the tree have fifty millions of
leaves, and two thousand and ninety five fruits. Do thou examine these
two branches and all their boughs.' Thereupon staying the car Vahuka
addressed the king, saying, 'O crusher of foes, thou takest credit to
thyself in a matter which is beyond my perception. But, O monarch, I will
ascertain it by the direct evidence of my senses, by cutting down the
Vibhitaka. O king, when I actually count, it will no longer be matter of
speculation. Therefore, in thy presence, O monarch, I will hew down this
Vibhitaka. I do not know whether it be not (as thou hast said). In thy
presence, O ruler of men, I will count the fruits and leaves. Let
Varshneya hold the reins of the horses for a while.' Unto the charioteer
the king replied, 'There is no time to lose.' But Vahuka answered with
humility, 'Stay thou a short space, or, if thou art in a hurry, go then,
making Varshneya thy charioteer. The road lies direct and even.' And at
this, O son of the Kuru race, soothing Vahuka, Rituparna said, 'O Vahuka,
thou art the only charioteer, there is none other in this world. And, O
thou versed in horse lore, it is through thy help that I expect to go to
the Vidarbhas. I place myself in thy hands. It behoveth thee not to cause
any obstacle. And, O Vahuka, whatever thy wish. I will grant it if taking
me to the country of the Vidarbhas to-day, thou makest me see the sun
rise.' At this, Vahuka answered him, saying, 'After having counted (the
leaves and fruits of the) Vibhitaka, I shall proceed to Vidarbha, do thou
agree to my words. Then the king reluctantly told him, 'Count. And on
counting the leaves and fruits of a portion of this branch, thou wilt be
satisfied of the truth of my assertion.' And thereupon Vahuka speedily
alighted from the car, and felled that tree. And struck with amazement
upon finding the fruits, after calculation, to be what the king had said,
he addressed the king, saying, 'O monarch, this thy power is wonderful. I
desire, O prince, to know the art by which thou hast ascertained all
this.' And at this king, intent upon proceeding speedily, said unto
Vahuka. 'Know that I am proficient at dice besides being versed in
numbers. And Vahuka said unto him, 'Impart unto me this knowledge and, O
bull among men, take from me my knowledge of horses.' And king Rituparna,
having regard to the importance of the act that depended upon Vahuka's
good-will, and tempted also by the horse-lore (that his charioteer
possessed), said, 'So be it.' As solicited by thee, receive this science
of dice from me, and, O Vahuka, let my equine science remain with thee in
trust.' And saying this, Rituparna imparted unto Nala the science (he
desired). And Nala upon becoming acquainted with the science of dice,
Kali came out of his body, incessantly vomiting from his mouth the
virulent poison of Karkotaka."
6,"And when Kali, afflicted (by Damayanti's curse) came out (of Nala's
body), the fire of that curse also left Kali. Indeed, long had been the
time for which the king had been afflicted by Kali, as if he were of
unregenerate soul. And Kala the ruler of the Nishadhas, in wrath, was
bent upon cursing Kali, when the latter, frightened, and trembling, said
with joined hands, 'Control thy wrath, O king! I will render thee
illustrious. Indrasena's mother had formerly cursed me in anger when she
had been deserted by thee. Ever since that time undergoing sore
affliction I resided in thee, O mighty monarch, O unconquered one,
miserably and burning night and day with the venom of the prince of
snakes. I seek thy protection. If thou dost not curse me who am
affrighted and seek thy protection, then those men that will attentively
recite thy history, shall be even free from fear on my account.' And thus
addressed by Kali, king Nala controlled his wrath. And thereupon the
frightened Kali speedily entered into the Vibhitaka tree. And while the
Kali was conversing with Naishadha, he was invisible to others. And
delivered from his afflictions, and having counted the fruits of that
tree, the king, filled with great joy and of high energy, mounted on the
car and proceeded with energy, urging those fleet horses. And from the
touch of Kali the Vibhitaka tree from that hour fell into disrepute. And
Nala, with a glad heart, began to urge those foremost of steeds which
sprang into the air once and again like creatures endued with wings. And
the illustrious monarch drove (the car) in the direction of the
Vidarbhas. And after Nala had gone far away, Kali also returned to his
abode. And abandoned by Kali, O king, that lord of earth, the royal Nala,
became freed from calamity though he did not assume his native form.'"""
7,
8,"""Vrihadaswa said, 'After Rituparna of prowess incapable of being baffled
had, in the evening, arrived at the city of the Vidarbhas, the people
brought unto king Bhima the tidings (of his arrival). And at the
invitation of Bhima, the king (of Ayodhya) entered the city of Kundina,
filling with the rattle of his car all the ten points, direct and
transverse, of the horizon. And the steeds of Nala that were in that city
heard that sound, and hearing it they became delighted as they used to be
in the presence of Nala himself. And Damayanti also heard the sound of
that car driven by Nala, like the deep roar of the clouds in the rainy
season. And Bhima and the steeds (of Nala) regarded the clatter of that
car to be like that which they used to hear in days of yore when king
Nala himself urged his own steeds. And the peacocks on the terraces, and
the elephants in the stables, and the horses also, all heard the rattle
of Rituparna's car. And hearing the sound, so like the roar of the
clouds, the elephants and the peacocks, O king, began to utter their
cries, facing that direction, and filled with delight such as they
experience when they hear the actual roar of the clouds. And Damayanti
said, 'Because the rattle of his car filling the whole earth, gladdens my
heart, it must be King Nala (that has come). If I do not see Nala, of
face bright as the moon, that hero with countless virtues, I shall
certainly die. If I am not clasped today in that hero's thrilling
embrace, I shall certainly cease to be. If Naishadha with voice deep as
that of the clouds doth not come to me today, I shall enter into a pyre
of golden brilliance. If that foremost of kings, powerful as a lion and
gifted with the strength of an infuriated elephant, doth not present
himself before me, I shall certainly cease to live. I do not remember a
single untruth in him, or a single wrong done by him to others. Never
hath he spoken an untruth even in jest. Oh, my Nala is exalted and
forgiving and heroic and magnificent and superior to all other kings, and
faithful to his marriage vow and like unto a eunuch in respect of other
females. Night and day dwelling upon his perceptions, my heart, in
absence of that dear one, is about to burst in grief.'"
9,"""Thus bewailing as if devoid of sense, Damayanti, O Bharata, ascended the
terrace (of her mansion) with the desire of seeing the righteous Nala.
And in the yard of the central mansion she beheld king Rituparna on the
car with Varshneya and Vahuka. And Varshneya and Vahuka, descending for
that excellent vehicle, unyoked the steeds, and kept the vehicle itself
in a proper place. And king Rituparna also, descending from the car,
presented himself before king Bhima possessed of terrible prowess. And
Bhima received him with great respect, for in the absence of a proper
occasion, a great person cannot be had (as a guest). And honoured by
Bhima, king Rituparna looked about him again and again, but saw no traces
of the Swayamvara. And the ruler of the Vidarbhas, O Bharata, approaching
Rituparna, said, 'Welcome! What is the occasion of this thy visit?' And
king Bhima asked this without knowing that Rituparna had come to obtain
the hand of his daughter. And king Rituparna, of unbaffled prowess and
gifted with intelligence, saw that there were no other kings or princes.
Nor did he hear any talk relating to the Swayamvara, nor saw any
concourse of Brahmanas. And at this, the king of Kosala reflected a while
and at length said, 'I have come here to pay my respects to thee.' And
the king Bhima was struck with astonishment, and reflected upon the
(probable) cause of Rituparna's coming, having passed over a hundred
yojanas. And he reflected, 'That passing by other sovereigns, and leaving
behind him innumerable countries, he should come simply to pay his
respect to me is scarcely the reason of his arrival. What he assigneth to
be the cause of his coming appeareth to be a trifle. However, I shall
learn the true reason in the future.' And although king Bhima thought so,
he did not dismiss Rituparna summarily, but said unto him again and
again, 'Rest, thou art weary.' And honoured thus by the pleased Bhima,
king Rituparna was satisfied, and with a delighted heart, he went to his
appointed quarters followed by the servants of the royal household."""
