,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,(,O,(,O
1,1,0,Chaitraratha,B-LIT&ART,NNP,O
2,2,0,Parva,I-LIT&ART,NNP,O
3,3,0,continued,O,VBD,O
4,4,0,),O,),O
5,5,0,``,O,``,O
6,6,0,Arjuna,B-PER,NNP,O
7,7,0,asked,O,VBD,O
8,8,0,",",O,",",O
9,9,0,'O,O,'',O
10,10,0,Gandharva,B-COMMUNITY,NNP,O
11,11,0,",",O,",",O
12,12,0,thou,O,JJ,O
13,13,0,art,O,NN,O
14,14,0,acquainted,O,VBN,O
15,15,0,with,O,IN,O
16,16,0,everything,O,NN,O
17,17,0,.,O,.,O
18,18,1,Tell,O,NNP,O
19,19,1,us,O,PRP,O
20,20,1,",",O,",",O
21,21,1,therefore,O,RB,O
22,22,1,",",O,",",O
23,23,1,which,O,WDT,O
24,24,1,Veda-knowing,O,NNP,O
25,25,1,Brahmana,B-COMMUNITY,NNP,O
26,26,1,is,O,VBZ,O
27,27,1,worthy,O,JJ,O
28,28,1,to,O,TO,O
29,29,1,be,O,VB,O
30,30,1,appointed,O,VBN,O
31,31,1,as,O,IN,O
32,32,1,our,O,PRP$,O
33,33,1,priest,O,NN,O
34,34,1,.,O,.,O
35,35,1,',O,'',O
36,36,2,``,O,``,O
37,37,2,The,O,DT,O
38,38,2,Gandharva,B-COMMUNITY,NNP,O
39,39,2,replied,O,VBD,O
40,40,2,",",O,",",O
41,41,2,'There,O,EX,O
42,42,2,is,O,VBZ,O
43,43,2,in,O,IN,O
44,44,2,these,O,DT,O
45,45,2,woods,O,NNS,O
46,46,2,a,O,DT,O
47,47,2,shrine,O,NN,O
48,48,2,of,O,IN,O
49,49,2,the,O,DT,O
50,50,2,name,O,NN,O
51,51,2,of,O,IN,O
52,52,2,Utkochaka,B-PLACE,NNP,O
53,53,2,.,O,.,O
54,54,3,Dhaumya,B-PER,NNP,O
55,55,3,",",O,",",O
56,56,3,the,O,DT,O
57,57,3,younger,O,JJR,O
58,58,3,brother,O,NN,O
59,59,3,of,O,IN,O
60,60,3,Devala,O,NNP,O
61,61,3,is,O,VBZ,O
62,62,3,engaged,O,VBN,O
63,63,3,there,O,RB,O
64,64,3,in,O,IN,O
65,65,3,ascetic,O,JJ,O
66,66,3,penances,O,NNS,O
67,67,3,.,O,.,O
68,68,4,Appoint,O,NNP,O
69,69,4,him,O,PRP,O
70,70,4,",",O,",",O
71,71,4,if,O,IN,O
72,72,4,ye,O,JJ,O
73,73,4,desire,O,NN,O
74,74,4,",",O,",",O
75,75,4,your,O,PRP$,O
76,76,4,priest,O,NN,O
77,77,4,.,O,.,O
78,78,4,'',O,'',O
79,79,5,``,O,``,O
80,80,5,Vaisampayana,B-PER,NNP,O
81,81,5,said,O,VBD,O
82,82,5,",",O,",",O
83,83,5,'Then,O,NNP,O
84,84,5,Arjuna,B-PER,NNP,O
85,85,5,",",O,",",O
86,86,5,highly,O,RB,O
87,87,5,pleased,O,JJ,O
88,88,5,with,O,IN,O
89,89,5,everything,O,NN,O
90,90,5,that,O,WDT,O
91,91,5,had,O,VBD,O
92,92,5,happened,O,VBN,O
93,93,5,",",O,",",O
94,94,5,gave,O,VBD,O
95,95,5,unto,O,NN,O
96,96,5,that,O,IN,O
97,97,5,Gandharva,B-COMMUNITY,NNP,O
98,98,5,",",O,",",O
99,99,5,his,O,PRP$,O
100,100,5,weapon,O,NN,O
101,101,5,of,O,IN,O
102,102,5,fire,O,NN,O
103,103,5,with,O,IN,O
104,104,5,befitting,O,JJ,O
105,105,5,ceremonies,O,NNS,O
106,106,5,.,O,.,O
107,107,6,And,O,CC,O
108,108,6,addressing,O,VBG,O
109,109,6,him,O,PRP,O
110,110,6,",",O,",",O
111,111,6,the,O,DT,O
112,112,6,Pandava,B-COMMUNITY,NNP,O
113,113,6,also,O,RB,O
114,114,6,said,O,VBD,O
115,115,6,",",O,",",O
116,116,6,'O,O,'',O
117,117,6,thou,O,JJ,O
118,118,6,best,O,JJS,O
119,119,6,of,O,IN,O
120,120,6,Gandharvas,B-COMMUNITY,NNP,O
121,121,6,",",O,",",O
122,122,6,let,O,VB,O
123,123,6,the,O,DT,O
124,124,6,horses,O,NNS,O
125,125,6,thou,O,VBP,O
126,126,6,givest,O,JJS,O
127,127,6,us,O,PRP,O
128,128,6,remain,O,VBP,O
129,129,6,with,O,IN,O
130,130,6,thee,O,NN,O
131,131,6,for,O,IN,O
132,132,6,a,O,DT,O
133,133,6,time,O,NN,O
134,134,6,.,O,.,O
135,135,7,When,O,WRB,O
136,136,7,the,O,DT,O
137,137,7,occasion,O,NN,O
138,138,7,cometh,O,NN,O
139,139,7,",",O,",",O
140,140,7,we,O,PRP,O
141,141,7,will,O,MD,O
142,142,7,take,O,VB,O
143,143,7,them,O,PRP,O
144,144,7,from,O,IN,O
145,145,7,thee,O,NN,O
146,146,7,.,O,.,O
147,147,8,Blest,O,JJS,O
148,148,8,be,O,VB,O
149,149,8,thou,O,VBN,O
150,150,8,.,O,.,O
151,151,8,',O,'',O
152,152,9,Then,O,RB,O
153,153,9,the,O,DT,O
154,154,9,Gandharva,B-COMMUNITY,NNP,O
155,155,9,and,O,CC,O
156,156,9,the,O,DT,O
157,157,9,Pandavas,B-COMMUNITY,NNP,O
158,158,9,",",O,",",O
159,159,9,respectfully,O,RB,O
160,160,9,saluting,O,VBG,O
161,161,9,each,O,DT,O
162,162,9,other,O,JJ,O
163,163,9,",",O,",",O
164,164,9,left,O,VBD,O
165,165,9,the,O,DT,O
