,document,subject,relation,object
0,"""The Gandharva replied, 'There is in these woods a shrine of the name of
Utkochaka.",shrine,is in,woods
1,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,brother of,Devala
2,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is engaged there in,penances
3,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is engaged there in,ascetic penances
4,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is engaged in,ascetic penances
5,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is,engaged there
6,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is,engaged
7,"Dhaumya, the younger brother of Devala is engaged there in
ascetic penances.",Dhaumya,is engaged in,penances
8,"Appoint him, if ye desire, your priest.""",ye,desire,your priest
9,"""Vaisampayana said, 'Then Arjuna, highly pleased with everything that had
happened, gave unto that Gandharva, his weapon of fire with befitting
ceremonies.",fire,is with,befitting ceremonies
10,"""Vaisampayana said, 'Then Arjuna, highly pleased with everything that had
happened, gave unto that Gandharva, his weapon of fire with befitting
ceremonies.",Gandharva,weapon of,fire with befitting ceremonies
11,"When the occasion cometh, we will take them from thee.",we,will take,them
12,"When the occasion cometh, we will take them from thee.",we,will take from,thee
13,Blest be thou.',Blest,be,thou
14,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,left,delightful banks
15,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,left,banks of Bhagirathi
16,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,left,banks
17,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,left,delightful banks of Bhagirathi
18,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,saluting,other
19,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Gandharva,respectfully saluting,other
20,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Pandavas,left,banks
21,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Pandavas,left,delightful banks
22,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Pandavas,left,delightful banks of Bhagirathi
23,"Then the Gandharva and the Pandavas, respectfully saluting each other,
left the delightful banks of the Bhagirathi and went wheresoever they
desired.",Pandavas,left,banks of Bhagirathi
24,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",sacred asylum,installed,Dhaumya
25,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",asylum,installed,Dhaumya
26,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",asylum,installed as,their priest
27,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",Pandavas,going to,Utkochaka
28,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",sacred asylum,installed as,their priest
29,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",sacred asylum,installed Dhaumya as,their priest
