,document,subject,relation,object
0,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is versed in,Vedic literature.Arjuna
1,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Brahmana,is,if worthy
2,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is versed in,literature.Arjuna
3,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,because well versed in literature.Arjuna
4,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,asked,to chosen
5,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,asked,for chosen
6,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",priest,be,for chosen
7,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is well versed in,literature.Arjuna
8,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",knowing Brahmana,be appointed,priest.He replied
9,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Brahmana,be appointed,priest.He replied
10,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,versed
11,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,well versed
12,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Brahmana,is,worthy
13,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,because well versed in Vedic literature.Arjuna
14,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked,worthy
15,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked,if worthy
16,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked Gandharva,versed
17,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked,Gandharva
18,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",priest,be,to chosen
19,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,asked,for to chosen
20,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,asked,chosen
21,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Brahmana,be appointed,as priest.He replied
22,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,because versed in literature.Arjuna
23,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,because versed in Vedic literature.Arjuna
24,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",knowing Brahmana,is,if worthy
25,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Brahmana,be,appointed
26,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is well versed in,Vedic literature.Arjuna
27,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",priest,be,for to chosen
28,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked Gandharva,if worthy
29,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",knowing Brahmana,be,appointed
30,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",he,is,because well versed
31,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",priest,be,chosen
32,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",knowing Brahmana,is,worthy
33,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked Gandharva,worthy
34,"Arjuna asked Gandharva if Veda-knowing Brahmana is worthy to be appointed as a priest.He replied that he is, because he is well-versed in Vedic literature.Arjuna then asked for a priest to be chosen.",Arjuna,asked,versed
