,summary
0,Vaisampayana describes the assembly of kings who took their seats in the assembly when the play of Dhritarashtra commenced.They were all conversant with the Vedas and brave and of resplendent countenances.The friendly match at dice then commenced.
1,"Yudhishthira wants to play with the pearls of great value that she got from the ocean.She wants to know what is the counterstake of the king, who is the wisest to share the wealth with her. "
2,"Duryodhana has many jewels and much wealth, but she is not vain about it.She wants to win the stake from Duryodhanas.  .  ""I have many jewels, but I am not vain of them. "
3,"Sakuni won the game of dice at Vaisampayana's request, according to the story she told.She told Yudhishthira, ""Lo, I have won.    ""Sakuni is well-skilled at dice. "
4,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
5,"Yudhishthira and Sakuni are going to play a game of staking.Sakuni won the stake by unfair means.He has many beautiful jars each full of a thousand Nishkas in his treasury, gold, silver, and other minerals."
6,"Sakuni, the eldest of the sons of Pandu, told Yudhishthira, king of Kuru race, that he has won and that he is of glory incapable of sustaining any diminution.Vaisampayana quotes Sakuni."
7,"Yudhishthira's car is equal to a thousand cars.It is of symmetrical proportions, covered with tiger-skin, furnished with excellent wheels and flag-staffs, decked with strings of little bells, and drawn by eight noble steeds."
8,"Sakuni and Yudhishthira thought Vaisampayana had won the game, so Sakuni used unfair means to claim victory.Vaisambayana was not so sure.   ""Lo, I have won!"" "
9,"Yudhishthira has a hundred thousand serving-girls, well-skilled in the four and sixty elegant arts, versed in dancing and singing, and wait upon and serve at her command the celestials, the Snataka Brahmanas, and kings."
10,"Sakuni was going to play the game, but Vaisampayana won.Sakuni congratulated Yudhishthira on the victory.  .  ""Lo, I have won!""  .  - Vaisambayana"
11,"Yudhishthira has thousands of serving-men, skilled in waiting upon guests, always attired in silken robes, with their senses under control though young, and decked with earrings, who serve all guests night and day with plates and dishes in hand."
12,"Sakuni, adopting unfair means, said to Yudhishthira, 'Lo, I have won!' Vaisampayana continued.   ""Hearing these words, Sakuni, ready with the dice, adopted unfair means and won. "
13,"Yudhishthira has one thousand musty elephants with golden girdles, decked with ornaments, with the mark of the lotus on their temples and necks, adorned with golden garlands, with fine white tusks long and thick as plough-shafts, capable of carrying kings on their backs, and with huge bodies capable of battering down the walls of hostile towns."
14,"Yudhishthira had said so.Sakuni, the son of Suvala, laughedingly said, 'Lo, I have won it!'      .  - Vaisampayana's account.  i  "
15,"Yudhishthira has as many cars as elephants, well-trained horses and warriors that fight well and each of them receives a thousand coins as his monthly pay whether he fights or not.She wants to stake with the king with all this wealth."
16,"Sakuni, pledged to enmity, said to Yudhishthira, 'Lo, I have won it' Vaisampayana continued.   ""When these words had been spoken, Sakuni, pledging to enemity, had said, "
17,"The steeds of the Tittiri, Kalmasha, and Gandharva, decked with ornaments, which Chitraratha vanquished in battle and subdued cheerfully gave to Arjuna, the wielder of the Gandiva, Yudhishthira will stake with him."
18,"Yudhishthira has won at dice.Sakuni is happy about it.     .  - Vaisampayana. ""Lo, I have won.   ""I have won"".  'Lo,  "
