,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags,tag
0,0,0,SECTION,O,NN,O
1,1,0,LXV,O,NNP,O
2,2,0,Duryodhana,B-PER,NNP,O
3,3,0,said,O,VBD,O
4,4,0,",",O,",",O
5,5,0,--,O,:,O
6,6,0,'Come,O,UH,O
7,7,0,",",O,",",O
8,8,0,Kshatta,B-PER,NNP,O
9,9,0,",",O,",",O
10,10,0,bring,O,VBG,O
11,11,0,hither,O,PRP,O
12,12,0,Draupadi,B-PER,NNP,O
13,13,0,the,O,DT,O
14,14,0,dear,O,NN,O
15,15,0,and,O,CC,O
16,16,0,loved,O,VBD,O
17,17,0,wife,O,NN,O
18,18,0,of,O,IN,O
19,19,0,the,O,DT,O
20,20,0,Pandavas,B-COMMUNITY,NNP,O
21,21,0,.,O,.,O
22,22,1,Let,O,VB,O
23,23,1,her,O,PRP,O
24,24,1,sweep,O,VB,O
25,25,1,the,O,DT,O
26,26,1,chambers,O,NNS,O
27,27,1,",",O,",",O
28,28,1,force,O,NN,O
29,29,1,her,O,PRP$,O
30,30,1,thereto,O,NN,O
31,31,1,",",O,",",O
32,32,1,and,O,CC,O
33,33,1,let,O,VB,O
34,34,1,the,O,DT,O
35,35,1,unfortunate,O,JJ,O
36,36,1,one,O,CD,O
37,37,1,stay,O,NN,O
38,38,1,where,O,WRB,O
39,39,1,our,O,PRP$,O
40,40,1,serving-women,O,NNS,O
41,41,1,are,O,VBP,O
42,42,1,.,O,.,O
43,43,1,',O,'',O
44,44,2,``,O,``,O
45,45,2,Vidura,B-PER,NNP,O
46,46,2,said,O,VBD,O
47,47,2,",",O,",",O
48,48,2,--,O,:,O
49,49,2,'Dost,O,JJS,O
50,50,2,thou,O,JJ,O
51,51,2,not,O,RB,O
52,52,2,know,O,VB,O
53,53,2,",",O,",",O
54,54,2,O,O,NNP,O
55,55,2,wretch,O,NN,O
56,56,2,",",O,",",O
57,57,2,that,O,IN,O
58,58,2,by,O,IN,O
59,59,2,uttering,O,VBG,O
60,60,2,such,O,JJ,O
61,61,2,harsh,O,JJ,O
62,62,2,words,O,NNS,O
63,63,2,thou,O,JJ,O
64,64,2,art,O,RB,O
65,65,2,tying,O,VBG,O
66,66,2,thyself,O,PRP,O
67,67,2,with,O,IN,O
68,68,2,cords,O,NNS,O
69,69,2,?,O,.,O
70,70,3,Dost,O,NNP,O
71,71,3,thou,O,MD,O
72,72,3,not,O,RB,O
73,73,3,understand,O,VB,O
74,74,3,that,O,IN,O
75,75,3,thou,O,JJ,O
76,76,3,art,O,NN,O
77,77,3,hanging,O,VBG,O
78,78,3,on,O,IN,O
79,79,3,the,O,DT,O
80,80,3,edge,O,NN,O
81,81,3,of,O,IN,O
82,82,3,a,O,DT,O
83,83,3,precipice,O,NN,O
84,84,3,?,O,.,O
85,85,4,Dost,O,NNP,O
86,86,4,thou,O,MD,O
87,87,4,not,O,RB,O
88,88,4,know,O,VB,O
89,89,4,that,O,IN,O
90,90,4,being,O,VBG,O
91,91,4,a,O,DT,O
92,92,4,deer,O,NN,O
93,93,4,thou,O,NN,O
94,94,4,provokest,O,VBP,O
95,95,4,so,O,RB,O
96,96,4,many,O,JJ,O
97,97,4,tigers,O,NNS,O
98,98,4,to,O,TO,O
99,99,4,rage,O,VB,O
100,100,4,?,O,.,O
101,101,5,Snakes,O,NNS,O
102,102,5,of,O,IN,O
103,103,5,deadly,O,JJ,O
104,104,5,venom,O,NN,O
105,105,5,",",O,",",O
106,106,5,provoked,O,VBD,O
107,107,5,to,O,TO,O
108,108,5,ire,O,VB,O
109,109,5,",",O,",",O
110,110,5,are,O,VBP,O
111,111,5,on,O,IN,O
112,112,5,thy,O,JJ,O
113,113,5,head,O,NN,O
114,114,5,!,O,.,O
115,115,6,Wretch,O,NNP,O
116,116,6,",",O,",",O
117,117,6,do,O,VBP,O
118,118,6,not,O,RB,O
119,119,6,further,O,RB,O
120,120,6,provoke,O,VB,O
121,121,6,them,O,PRP,O
122,122,6,lest,O,JJS,O
123,123,6,thou,O,NN,O
124,124,6,goest,O,NN,O
125,125,6,to,O,TO,O
126,126,6,the,O,DT,O
127,127,6,region,O,NN,O
128,128,6,of,O,IN,O
129,129,6,Yama,B-PER,NNP,O
130,130,6,.,O,.,O
131,131,7,In,O,IN,O
132,132,7,my,O,PRP$,O
133,133,7,judgement,O,NN,O
134,134,7,",",O,",",O
135,135,7,slavery,O,NN,O
136,136,7,does,O,VBZ,O
137,137,7,not,O,RB,O
138,138,7,attach,O,VB,O
139,139,7,to,O,TO,O
140,140,7,Krishna,B-PER,NNP,O
141,141,7,",",O,",",O
142,142,7,in,O,IN,O
143,143,7,as,O,RB,O
144,144,7,much,O,JJ,O
145,145,7,as,O,IN,O
146,146,7,she,O,PRP,O
147,147,7,was,O,VBD,O
148,148,7,staked,O,VBN,O
149,149,7,by,O,IN,O
150,150,7,the,O,DT,O
151,151,7,King,O,NNP,O
152,152,7,after,O,IN,O
153,153,7,he,O,PRP,O
154,154,7,had,O,VBD,O
155,155,7,lost,O,VBN,O
156,156,7,himself,O,PRP,O
157,157,7,and,O,CC,O
158,158,7,ceased,O,VBD,O
159,159,7,to,O,TO,O
160,160,7,be,O,VB,O
161,161,7,his,O,PRP$,O
162,162,7,own,O,JJ,O
163,163,7,master,O,NN,O
164,164,7,.,O,.,O
165,165,8,Like,O,IN,O
166,166,8,the,O,DT,O
167,167,8,bamboo,O,NN,O
168,168,8,that,O,WDT,O
169,169,8,beareth,O,VBZ,O
170,170,8,fruit,O,NN,O
171,171,8,only,O,RB,O
172,172,8,when,O,WRB,O
173,173,8,it,O,PRP,O
174,174,8,is,O,VBZ,O
175,175,8,about,O,IN,O
176,176,8,to,O,TO,O
177,177,8,die,O,VB,O
178,178,8,",",O,",",O
179,179,8,the,O,DT,O
180,180,8,son,O,NN,O
181,181,8,of,O,IN,O
182,182,8,Dhritarashtra,B-PER,NNP,O
183,183,8,winneth,O,VBP,O
184,184,8,this,O,DT,O
185,185,8,treasure,O,NN,O
186,186,8,at,O,IN,O
187,187,8,play,O,NN,O
188,188,8,.,O,.,O
189,189,9,Intoxicated,O,VBN,O
190,190,9,",",O,",",O
191,191,9,he,O,PRP,O
192,192,9,perceiveth,O,VBZ,O
193,193,9,nor,O,CC,O
194,194,9,in,O,IN,O
195,195,9,these,O,DT,O
196,196,9,his,O,PRP$,O
197,197,9,last,O,JJ,O
198,198,9,moments,O,NNS,O
199,199,9,that,O,WDT,O
200,200,9,dice,O,VBP,O
201,201,9,bring,O,VBG,O
202,202,9,about,O,IN,O
203,203,9,enmity,O,NN,O
204,204,9,and,O,CC,O
205,205,9,frightful,O,JJ,O
206,206,9,terrors,O,NNS,O
207,207,9,.,O,.,O
208,208,10,No,O,DT,O
209,209,10,man,O,NN,O
210,210,10,should,O,MD,O
211,211,10,utter,O,VB,O
212,212,10,harsh,O,JJ,O
213,213,10,speeches,O,NNS,O
214,214,10,and,O,CC,O
215,215,10,pierce,O,VB,O
216,216,10,the,O,DT,O
217,217,10,hearts,O,NNS,O
218,218,10,of,O,IN,O
219,219,10,the,O,DT,O
220,220,10,others,O,NNS,O
221,221,10,.,O,.,O
222,222,11,No,O,DT,O
223,223,11,man,O,NN,O
224,224,11,should,O,MD,O
225,225,11,subjugate,O,VB,O
226,226,11,his,O,PRP$,O
227,227,11,enemies,O,NNS,O
228,228,11,by,O,IN,O
229,229,11,dice,O,NN,O
230,230,11,and,O,CC,O
231,231,11,such,O,JJ,O
232,232,11,other,O,JJ,O
233,233,11,foul,O,NN,O
234,234,11,means,O,NNS,O
235,235,11,.,O,.,O
236,236,12,No,O,DT,O
237,237,12,one,O,NN,O
238,238,12,should,O,MD,O
239,239,12,utter,O,VB,O
240,240,12,such,O,JJ,O
241,241,12,words,O,NNS,O
242,242,12,as,O,IN,O
243,243,12,are,O,VBP,O
244,244,12,disapproved,O,VBN,O
245,245,12,by,O,IN,O
246,246,12,the,O,DT,O
247,247,12,Vedas,B-LIT&ART,NNP,O
248,248,12,and,O,CC,O
249,249,12,lead,O,NN,O
250,250,12,to,O,TO,O
251,251,12,hell,O,VB,O
252,252,12,and,O,CC,O
