,summary
0,"Duryodhana wants Kshatta to bring Draupadi, the wife of the Pandavas, to sweep the chambers and force her out of the place where serving-women are.Kshta will do it, because Draupadis is the Pandava's wife."
1,"""Vidura warned Duryodhana not to utter harsh words as they are disapproved by the Vedas and lead to hell and annoy others.Many Kurus with Dussasana have followed him in the path of dishonesty in the matter of playing dice."
2,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
3,"Vaisampayana tells the story of Dhritarashtra, the son of Pandu.Vidura's son, Pratikamin, was ordered to go to Draupadi and bring her to Pandu's son Vidura, who was intoxicated with pride."
4,"Vaisampayana tells the story of Yudhishthira, who was drunk with dice and won over Draupadi.Pratikamin, of the Suta caste, went to the abode of the Pandavas and approached the queen of the sons of Pandu.He told her to come to Dhritarashtra and he would put her in some menial work."
5,Draupadi is angry at Pratikamin for accusing the king of staking his wife on dice.Pratikaamin claims that the king was intoxicated and had no other object to stake his wife with than dice.Draupadi believes otherwise.
6,"Ajatasatru, the son of Pandu, staked thee.The king had first staked his brothers, then himself, and then himself and then thee, O princess.Pratikamin said,--'When he had nothing else to stake, it was then that Ajat asatru staked the princess'"
7,Draupadi wants a gambler to choose between himself and Draupadi.She wants him to take her with him.He should ask the gambler who has lost first and then choose himself or her.He will choose himself.   
8,Vaisampayana tells how Draupadi asked Yudhishthira who lost herself first and who lost her in play.She sat there like one demented and deprived of reason and gave no answer good or ill to the Suta.
9,Duryodhana wants the princess of Panchala to come to the assembly and put her question to Yudhishthira.She will let everyone hear the words that pass between them and the princess.Duryodhanas said it.
10,"Duryodhana will bring Vaisampayana before the assembly and the end of the Kauravas is at hand, according to Draupadi's messenger.Vaisambayana will be brought before the Assembly and the king will not be able to protect his prosperity."
11,"""Morality is the one highest object in the world.If cherished, it will dispense blessings to us.I am ready to do what those elderly and virtuous people conversant with morality will definitely tell me.  ""Draupadi said, 'The great ordainer of the world hath, indeed, ordained'."
12,"The Suta came back to the assembly and repeated the words of Draupadi, but all sat with faces downwards, knowing the eagerness and resolution of Dhritarashtra's son.Vaisampayana continued,--""the Suta, hearing these words of Yajnaseni, came back."
13,Duryodhana sent a messenger to Draupadi informing her of the intentions of Yudhishthira.The Pandavas couldn't decide what to do about it.King asked Pratikamin to bring her to the Kauravas to answer her question.
14,"Duryodhana ordered Dussasana to bring the daughter of Yajnasena, Krishna, to the assembly.He dragged Draupadi by her long, blue and wavy locks and dragged her before the assembly, while she was praying to Krishna and Vishnu."
15,"Vaisampayana was dragged by Dussasana, the modest Krishna.She is ashamed to be dragged in such a way in front of the assembly.She can't stay before them in this state.She believes that the virtue of Bharata has disappeared."
16,"Krishna was dragged by her lords, the Pandavas, to the assembly.Dussasana called her 'Slave, Slave', Karna, Sakuni and Duryodhana approved of them.Bhishma cannot decide whether a wife can stake the wealth belonging to others or not."
17,"Draupadi said that the king was made to play dice with skilful, wicked, deceitful and desperate gamblers.He could not understand their tricks, but he has now done so.Draupadi also said that Kurus are the lords of their sons and daughters-in-law."
18,"Vaisampayana describes how Dussasana spoke harsh words to Krishna.Vrikodara was angry at Krishna and at Yudhishthira, because of this, he gave way to wrath.Krishna was in a bad season and was in need of help."
19,Draupadi was staked by the Kauravas.Bhima is angry about it and threatens to burn the hands of Sahadeva who staked Draupadi for no good reason.She is being persecuted for the sake of the Pandavas and she deserves better.
20,"'Arjuna heard Bhimasena saying that Arjuna's high morality has been destroyed by cruel foes.  He was summoned by the foe and he played dice against his will, which is not in accordance with the usage of the Kshatriyas."
21,"'Bhima would have burnt the king's hands together if she hadn't known that he had acted according to Kshatriya usage, according to O Dhananjaya.   ""I would have, taking his hands together by sheer force, burnt them in a blazing fire""."
22,"Vaisampayana tells the story of Vikarna, Bhishma, Dhritarashtra, Vidura, Bharadwaja, Kripa, and Suvala's daughter, Yajnaseni.Vikarna asks them to judge the matter according to their judgment, leaving aside all motives of gain and anger."
23,"Vikarna, the son of Suvala, speaks out against the Pandavas and their daughter Draupadi.Dussasana, the king, orders Vikarna to take off the robes and the attire of Draupadis and to uncover her."
