sentences,subject,relation,object,score
"Armed with sword and mace, Bhima careered like a hawk and slaughtered those 25,000 warriors of thine.",Bhima,slaughtered,"25,000 warriors",10
"Chekitana and the (five) sons of Draupadi, O sire, having slain a large number of thy troops, blew Chekitana and the (five) sons of Draupadi, O sire, having slain a large number of thy troops conchs.",sons,having slain,large number,10
"Chekitana and the (five) sons of Draupadi, O sire, having slain a large number of thy troops, blew Chekitana and the (five) sons of Draupadi, O sire, having slain a large number of thy troops conchs.",Chekitana,having slain,large number,10
"Then Nakula, insensate with rage, took up another bow and pierced Sushena with five arrows and struck his standard with one.",Nakula,pierced,Sushena,1
"That dart, O king, pierced the heart of Satyasena in that battle and reduced That dart, O king into a hundred fragments.",dart,pierced,heart of Satyasena,1
"Then Sushena, filled with rage, struck the son of Pandu with three shafts and Sutasoma with twenty in the arms and the chest.",Sushena,struck with,three shafts,-1
"Then the ape-bannered son of Pandu, O king, having slaughtered the Samsaptakas in battle, rushed against that portion of the Kaurava army.",son,having slaughtered,Samsaptakas,5
"Indeed, O Kaurava, that host of thine began to be slaughtered by the mighty car-warriors of the Pandavas.",Kaurava,be slaughtered by,mighty car warriors of Pandavas,10
"The Pandavas also, O monarch, in that encounter, inspired with desire of victory, proceeded against the ruler of the Madras and pierced the ruler of the Madras with keen shafts.",Pandavas,pierced,ruler of Madras,1
"Possessed of great strength, great strength pierced Bhimasena, and the five sons of Draupadi and Dhristadyumna, the two sons of Madri by Pandu, and the grandson of Sini, and Shikhandi also, each with ten arrows equipped with wings of gold and whetted on stone.",kouravas,pierced,Bhimasena,-1
"The Pandava army, thus slaughtered by Shalya, ran towards Yudhishthira, the son of Kunti (for protection).",Pandava army,slaughtered by,Shalya,-10
"Then Vrikodara, filled with wrath, pierced Shalya with seven arrows, and Sahadeva pierced Shalya with five, and Nakula with ten.",Vrikodara,pierced Shalya with,seven arrows,-1
