sentence,subject,relation,object,score
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,piercing,son of Drona,1
"The ruler of the Sindhus pierced Drupada in that combat with three shafts, and Drupada pierced Drupada in return.",ruler of Sindhus,pierced,Drupada,-1
"And Sakuni also, in that fierce conflict, pierced Prativindhya in return and mangled that warrior of great intelligence with straight arrows.",Sakuni,pierced,Prativindhya,-1
"And as they were falling upon him with great impetuosity, Bhishma the son of Santanu, in that conflict, pierced the prince of Panchala with three arrows, and Satyaki with ten.",Bhishma,pierced,prince of Panchala,-1
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,piercing,Bhishma,1
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,pierced,Kripa,1
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,piercing,Santanu 's son,1
"Drawing (his) bow to the fullest stretch, Sweta pierced Bhishma with seven arrows.",Sweta,pierced,Bhishma,1
"And Sweta then, that delighter of Kshatriyas struck Bhishma, and Bhishma the son of Santanu also pierced the son of Santanu in return with ten arrows.",Bhishma,pierced,sweta,-1
"And Sweta again pierced Santanu's son with five and twenty straight arrows, at which all wondered.",Sweta,pierced,Santanu 's son,1
"Then Bhishma the son of Santanu, taking up another bow in that battle, pierced Sweta, O king, with arrows furnished with feathers of Kanka bird.",Bhishma,pierced,Sweta,-1
"And Artayani O king, pierced Pandu's son with three broad-headed arrows.",Artayani,pierced,Pandu 's son,-1
And Arjuna pierced Bhishma with five and twenty arrows of sharp points.,Arjuna,pierced,Bhishma,1
"And Bhishma, too, in that combat, pierced Partha in return with nine arrows.",Bhishma,pierced,Partha,-1
"Then Arjuna, indignant at seeing Madhava, pierced in that combat the charioteer of Ganga's son with three arrows.",Arjuna,pierced,charioteer of Ganga 's son,1
Drona with diverse arrows pierced Dhrishtadyumna and felled the latter's charioteer from Drona with diverse arrows niche in the car.,Drona,pierced,Dhrishtadyumna,-1
"And the heroic Dhrishtadyumna too pierced Drona in the combat with nine sharp arrows and addressed him, saying, 'Wait--Wait'.",Dhrishtadyumna,pierced,Drona,1
"Then the high-souled Dhrishtadyumna, taking up another bow, and putting forth his prowess pierced Drona in that encounter with five shafts.",Dhrishtadyumna,pierced,Drona,1
"And, O bull of Bharata's race, Bharata pierced Salya with five and twenty, and Kripa with nine arrows, and Aswatthaman with eight.",Bharata,pierced,Salya,1
"Drona's son, however, quickly pierced Arjuna's son with many winged arrows, and Salya pierced Arjuna's son with twelve, and Kripa with three sharp arrows.",Salya,pierced,Arjuna 's son,-1
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena excited,pierced,vindictive Duryodhana,1
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena,pierced,Duryodhana,1
"And the Kaurava army, thus slaughtered in battle with the shafts of Partha, fled away, trembling in grief and fear.",Kaurava army,slaughtered in,battle with shafts of Partha,10
"And those Pandava warriors struck off the heads of those Pandava warriors foes battling from the backs of elephants, with well-tempered and keen-edged shafts of diverse forms.",Pandava warriors,struck off,heads of Pandava warriors foes,10
