sentence,subject,relation,object,subject_side,object_side,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,piercing,angry son of Drona,0,1,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,however piercing,angry Sikhandin stationed,,,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,deeply piercing,angry Sikhandin stationed,-1,-1,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,deeply piercing,angry Sikhandin,-1,-1,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",Sikhandin,however piercing,angry Sikhandin,,-1,-1
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",powerful Sikhandin,deeply piercing,angry Sikhandin,-1,-1,
"The powerful Sikhandin, O king, rushed against Drona's son, Aswatthaman, however deeply piercing the angry Sikhandin stationed (before him) with a keen-edged shaft, caused him to tremble, Sikhandin also, O king, smote Drona's son with a sharp-whetted shaft of excellent temper.",powerful Sikhandin,however piercing,angry Sikhandin stationed,-1,,
"The ruler of the Sindhus pierced Drupada in that combat with three shafts, and Drupada pierced Drupada in return.",Drupada,pierced,Drupada,,,
"And Sakuni also, in that fierce conflict, pierced Prativindhya in return and mangled that warrior of great intelligence with straight arrows.",Sakuni,also pierced,Prativindhya,,,
"And Sakuni also, in that fierce conflict, pierced Prativindhya in return and mangled that warrior of great intelligence with straight arrows.",Sakuni,pierced,Prativindhya,,,
"And as they were falling upon him with great impetuosity, Bhishma the son of Santanu, in that conflict, pierced the prince of Panchala with three arrows, and Satyaki with ten.",Bhishma,pierced,prince of Panchala,,,
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,piercing,Bhishma,,,
